iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ARG,South America,Argentina,01/01/2020,,,,,,,,,,,,,,,,,,,,,,4,4,0,0,,,,,tests performed,,,,,,,,,,,,,,,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
MEX,North America,Mexico,01/01/2020,,,,,,,,,,,,,,,,,,,,,,25,25,0,0,,,,,people tested,,,,,,,,,,,,,,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,127504120,,,,
ARG,South America,Argentina,01/01/2020,,,,,,,,,,,,,,,,,,,,,,4,4,0,0,,,,,tests performed,,,,,,,,,,,,,,,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
MEX,North America,Mexico,01/01/2020,,,,,,,,,,,,,,,,,,,,,,25,25,0,0,,,,,people tested,,,,,,,,,,,,,,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,127504120,,,,
AFG,Asia,Afghanistan,01/03/2020,5,0,0.714,,0,0,0.122,0,0.017,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772,,,,
OWID_AFR,,Africa,01/03/2020,7,0,0.286,,0,0,0.005,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426736614,,,,
ALB,Europe,Albania,01/03/2020,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,29,3,0.01,0.001,,,,,tests performed,,,,,,,,,,,,,,8.33,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318,,,,
DZA,Africa,Algeria,01/03/2020,1,0,0.143,,0,0,0.022,0,0.003,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228,,,,
ASM,Oceania,American Samoa,01/03/2020,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.205,,,,,,283.75,,,,,,73.74,,44295,,,,
AND,Europe,Andorra,01/03/2020,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,79843,,,,
